1,com/nostra13/universalimageloader/core com/nostra13/universalimageloader/utils
2,org/eclipse/jgit/api org/eclipse/jgit/blame org/eclipse/jgit/diff org/eclipse/jgit/dircache org/eclipse/jgit/errors org/eclipse/jgit/fnmatch org/eclipse/jgit/ignore org/eclipse/jgit/internal org/eclipse/jgit/lib org/eclipse/jgit/merge org/eclipse/jgit/nls org/eclipse/jgit/notes org/eclipse/jgit/patch org/eclipse/jgit/revplot org/eclipse/jgit/revwalk org/eclipse/jgit/storage/file org/eclipse/jgit/storage/pack org/eclipse/jgit/submodule org/eclipse/jgit/transport org/eclipse/jgit/treewalk org/eclipse/jgit/util
3,me/sheimi/android/activities me/sheimi/android/utils me/sheimi/android/views me/sheimi/sgit
4,android/support/v13/app android/support/v4/app android/support/v4/content android/support/v4/media android/support/v4/util android/support/v4/view android/support/v4/widget
5,android/support/v4/graphics/drawable
6,android/support/v4/print
7,android/support/v4/text
8,android/support/v4/net
9,android/support/v4/hardware/display
10,android/support/v4/database
11,android/support/v4/accessibilityservice
12,android/support/v4/os
13,com/jcraft/jsch
14,android/support/v4/internal/view
15,com/nostra13/universalimageloader/cache/memory
16,org/apache/commons/io
17,org/eclipse/jgit/events
18,com/nostra13/universalimageloader/cache/disc
